DATE,DAY-OF-WEEK,Q-E,ZN-E,PH-E,DBO-E,DQO-E,SS-E,SSV-E,SED-E,COND-E,PH-P,DBO-P,SS-P,SSV-P,SED-P,COND-P,PH-D,DBO-D,DQO-D,SS-D,SSV-D,SED-D,COND-D
1990-08-01,Wednesday,33322.0,0.4,7.6,217.0,315.0,400.0,59.0,3.5,2080,7.5,225.0,376,64.9,4.0,2090,7.4,131.0,215.0,67.0,77.6,0.1,2190
1990-08-02,Thursday,10050.0,0.4,7.6,208.0,556.0,210.0,52.4,4.0,2340,7.5,244.0,148,66.2,2.5,2080,7.4,95.0,205.0,73.0,75.3,0.1,2070
1990-08-03,Friday,55930.0,1.2,7.8,223.0,459.0,364.0,45.6,5.5,2220,8.0,220.0,346,41.0,4.5,2300,7.9,85.0,199.0,63.0,74.6,0.1,2240
1990-08-05,Sunday,52851.0,0.3,8.1,64.0,161.0,172.0,40.7,2.0,1350,8.0,59.0,146,45.2,1.1,1315,7.9,44.0,114.0,63.0,63.5,0.1,292
1990-08-06,Monday,40585.0,0.35,8.0,66.0,152.0,364.0,20.3,1.6,1403,8.1,86.0,412,19.9,2.5,1383,8.0,49.0,114.0,80.0,46.3,0.2,1407
1990-08-07,Tuesday,45027.0,2.5,7.7,48.0,156.0,242.0,25.6,1.4,1400,7.9,63.0,266,24.8,1.9,1403,7.8,37.0,112.0,84.0,47.6,0.2,1363
1990-08-08,Wednesday,47338.0,2.0,8.1,69.0,126.0,138.0,39.1,1.4,882,8.1,150.0,180,38.9,1.9,902,8.2,53.0,100.0,62.0,59.7,0.1,920
1990-08-09,Thursday,44207.0,1.2,7.8,70.0,188.0,112.0,48.2,1.3,1031,7.9,125.0,194,41.2,2.8,1074,7.9,44.0,101.0,54.0,61.1,0.2,1064
1990-08-10,Friday,43563.0,1.0,7.8,95.0,206.0,132.0,43.9,1.5,828,7.8,74.0,112,57.1,1.2,856,7.9,47.0,158.0,62.0,64.5,0.1,85
1990-08-12,Sunday,47718.0,0.7,7.8,31.0,81.0,208.0,20.2,0.8,715,7.8,32.0,246,25.2,1.5,714,7.8,,80.0,233.0,20.2,0.7,712
1990-08-13,Monday,42587.0,2.0,7.8,77.0,256.0,248.0,30.6,2.5,910,7.9,71.0,270,28.9,3.0,931,7.9,26.0,120.0,71.0,45.1,0.3,917
1990-08-15,Wednesday,35098.0,0.8,7.8,100.0,256.0,234.0,37.6,2.5,993,7.8,97.0,168,50.0,1.3,953,7.8,,140.0,95.0,52.6,0.4,1034
1990-08-16,Thursday,38052.0,0.8,7.6,94.0,409.0,194.0,57.7,2.5,997,7.6,,192,54.2,2.5,996,7.7,,194.0,103.0,57.3,0.7,988
1990-08-17,Friday,31404.0,0.8,8.0,,321.0,160.0,67.5,2.5,1096,7.9,,164,61.0,2.5,1136,7.9,,179.0,85.0,65.9,0.3,1082
1990-08-19,Sunday,38905.0,0.3,7.7,58.0,197.0,130.0,64.6,2.0,1135,7.7,85.0,146,61.6,2.5,1169,7.8,44.0,123.0,54.0,79.6,0.2,1141
1990-08-20,Monday,38620.0,0.7,7.5,95.0,302.0,176.0,59.1,3.0,1120,7.6,94.0,152,59.2,2.5,1145,7.6,48.0,316.0,107.0,64.5,1.2,1155
1990-08-21,Tuesday,34352.0,0.27,7.4,112.0,470.0,172.0,65.1,4.5,1207,7.4,100.0,192,64.6,4.0,1208,7.4,74.0,213.0,69.0,72.5,0.2,1175
1990-08-22,Wednesday,34785.0,1.0,7.5,126.0,397.0,188.0,67.0,5.0,1950,7.5,121.0,190,63.2,3.5,1760,7.6,75.0,190.0,68.0,72.1,0.2,1720
1990-08-23,Thursday,27109.0,0.4,7.6,158.0,276.0,142.0,64.8,1.5,1939,7.6,205.0,278,56.1,7.5,1878,7.6,102.0,269.0,123.0,65.9,1.0,1920
1990-08-24,Friday,32802.0,0.7,7.3,203.0,405.0,212.0,67.9,4.5,1922,7.3,,320,61.3,8.5,1874,7.4,97.0,225.0,74.0,78.4,0.3,1820
1990-08-25,Saturday,35876.0,0.5,7.9,81.0,448.0,296.0,,,1315,7.7,128.0,380,,,1355,7.8,65.0,319.0,70.0,,,1401
1990-08-27,Monday,41410.0,0.6,7.9,85.0,269.0,110.0,,1.5,1342,7.8,139.0,198,,4.0,1325,7.8,65.0,168.0,65.0,,0.2,1362
1990-08-28,Tuesday,40933.0,1.5,7.8,120.0,303.0,290.0,,4.5,1818,7.8,125.0,250,,4.0,1800,7.8,78.0,192.0,68.0,,0.2,1846
1990-08-29,Wednesday,34764.0,0.9,7.5,127.0,284.0,188.0,,2.8,2260,7.6,143.0,222,,3.5,2500,7.6,114.0,192.0,92.0,,0.4,2140
1990-08-30,Thursday,39489.0,0.9,7.8,131.0,320.0,166.0,,2.5,1680,7.8,135.0,196,,2.5,1690,7.8,90.0,214.0,88.0,,0.2,1551
1990-08-31,Friday,42230.0,0.7,8.1,132.0,288.0,144.0,,1.3,1581,8.3,143.0,196,,3.0,1705,8.3,80.0,184.0,74.0,,0.2,1717
