DATE,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S
1991-02-01,8.0,16.0,82.0,13.0,92.3,0.01,1658.0
1991-02-03,7.6,29.0,106.0,27.0,85.2,0.01,1312.0
1991-02-04,7.7,14.0,51.0,13.0,84.6,0.0,1722.0
1991-02-05,7.7,17.0,83.0,16.0,87.5,0.02,1736.0
1991-02-06,7.8,16.0,91.0,14.0,92.9,0.0,1860.0
1991-02-07,7.8,21.0,91.0,20.0,90.0,0.1,1565.0
1991-02-08,7.7,31.0,117.0,22.0,90.9,,1645.0
1991-02-10,9.7,21.0,,17.0,88.2,0.02,1708.0
1991-02-11,7.8,24.0,,21.0,85.7,0.05,1455.0
1991-02-12,7.8,28.0,108.0,22.0,90.9,0.02,1850.0
1991-02-13,7.7,31.0,147.0,28.0,85.7,0.03,1770.0
1991-02-14,7.8,24.0,97.0,22.0,90.9,0.01,1682.0
1991-02-15,7.8,24.0,86.0,25.0,96.0,0.07,1821.0
1991-02-17,7.6,22.0,54.0,19.0,89.5,0.01,1406.0
1991-02-18,7.7,22.0,78.0,20.0,86.0,0.02,1454.0
1991-02-19,8.0,23.0,95.0,20.0,85.0,0.02,1800.0
1991-02-21,7.8,18.0,20.0,14.0,88.6,0.0,1249.0
1991-02-22,7.6,15.0,99.0,14.0,91.4,,1207.0
1991-02-24,7.7,17.0,96.0,19.0,86.3,0.0,1431.0
1991-02-25,7.7,27.0,106.0,24.0,85.0,0.02,1629.0
1991-02-26,7.8,28.0,57.0,22.0,87.3,0.02,1740.0
1991-02-27,7.7,26.0,95.0,23.0,92.2,0.02,2170.0
1991-02-28,7.8,18.0,138.0,22.0,,0.02,2230.0
