DATE,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G,RD-SED-G
1991-10-01,41.6,59.8,92.9,79.8,71.9,86.9,78.7,89.7,99.6
1991-10-02,41.4,67.4,92.9,75.8,64.8,83.7,,92.6,99.7
1991-10-03,68.5,57.8,94.3,71.0,60.6,85.0,67.1,88.3,99.6
1991-10-04,,56.7,90.0,64.7,80.9,92.3,82.7,91.8,99.8
1991-10-05,43.9,,93.3,81.6,77.3,88.0,91.5,,99.7
1991-10-06,23.7,68.6,93.3,87.4,68.7,91.4,80.5,93.6,99.7
1991-10-08,35.9,71.0,95.7,76.0,79.0,84.3,80.9,93.2,99.2
1991-10-09,24.8,68.9,97.1,74.1,61.8,78.5,77.0,90.4,99.6
1991-10-11,55.1,71.1,96.7,82.7,69.8,92.9,84.9,95.9,99.7
1991-10-12,42.3,71.3,96.4,77.7,87.5,87.6,92.8,92.0,99.6
1991-10-13,42.3,73.9,96.7,74.4,59.6,86.3,80.2,93.4,98.2
1991-10-15,47.7,82.0,97.5,76.1,68.0,88.0,84.2,93.9,99.6
1991-10-16,32.8,67.7,96.4,72.7,81.0,82.2,89.3,91.8,99.7
1991-10-17,,72.5,96.0,,74.5,85.7,86.0,90.8,98.3
1991-10-18,46.5,68.8,96.4,82.0,70.3,,84.1,89.1,99.6
1991-10-19,32.8,68.2,94.4,83.5,80.4,88.5,87.8,93.3,99.6
1991-10-20,44.7,67.2,96.0,80.0,53.8,88.5,71.4,90.5,95.6
1991-10-22,11.1,57.0,93.3,76.0,69.2,80.3,74.0,86.6,96.7
1991-10-23,30.0,65.8,94.3,68.9,58.0,81.0,73.7,91.7,98.9
1991-10-24,40.6,59.8,92.0,89.5,,93.7,,91.8,98.5
1991-10-25,47.3,61.3,94.0,76.4,,86.5,82.4,90.7,99.8
1991-10-26,,38.6,93.3,,87.0,92.7,95.0,91.8,95.7
1991-10-27,,40.4,95.0,,72.9,90.9,79.9,,98.6
1991-10-29,32.4,40.4,88.0,87.8,77.6,91.3,85.3,83.8,96.7
1991-10-30,,43.9,65.3,,75.3,,81.2,89.7,99.2
