Date,"Tube Flow Rate, bph","Tube Temp In, F","Tube Temp Out, F","Shell Flow Rate, bph","Shell Temp In, F","Shell Temp Out, F"
2021-02-01,2080.462606,88.0,103.0,2956.857478,378.0,372.0
2021-02-02,1419.548369,74.0,98.0,2152.035327,399.0,390.0
2021-02-03,1748.598658,74.0,93.0,2360.936051,375.0,367.0
2021-02-04,1871.709616,87.0,106.0,2527.158927,408.0,400.0
2021-02-05,1664.910415,93.0,111.0,2129.628534,369.0,361.0
2021-02-06,1526.526405,98.0,119.0,2278.054435,406.0,398.0
2021-02-07,1930.232333,74.0,93.0,2978.486364,406.0,399.0
2021-02-08,3586.155749,82.0,91.0,2621.223699,376.0,369.0
2021-02-09,3148.370838,104.0,115.0,1968.833704,419.0,409.0
2021-02-10,1856.703405,91.0,109.0,2374.955742,406.0,398.0
2021-02-11,3706.733266,94.0,104.0,3010.396945,427.0,420.0
2021-02-12,1637.70327,77.0,96.0,1965.516874,395.0,386.0
2021-02-13,1526.0269,74.0,98.0,2974.444432,398.0,391.0
2021-02-14,1557.911261,84.0,105.0,2657.017655,383.0,376.0
2021-02-15,2891.504453,82.0,93.0,2260.252887,375.0,367.0
2021-02-16,2539.084777,103.0,117.0,2886.939391,405.0,398.0
2021-02-17,1314.023081,67.0,90.0,2454.501256,377.0,370.0
2021-02-18,1970.806922,85.0,101.0,2240.80747,374.0,366.0
2021-02-19,1608.902471,65.0,88.0,2629.650533,417.0,409.0
2021-02-20,1492.301737,69.0,94.0,2651.167304,371.0,363.0
2021-02-21,3574.627886,95.0,105.0,2540.219941,415.0,407.0
2021-02-22,1525.978406,67.0,89.0,2385.676491,396.0,388.0
2021-02-23,1678.750214,72.0,92.0,2726.769991,373.0,366.0
2021-02-24,1443.426923,98.0,120.0,2578.991504,396.0,389.0
2021-02-25,1638.171931,68.0,87.0,2527.816302,360.0,353.0
2021-02-26,1682.348371,81.0,104.0,2444.171792,423.0,414.0
2021-02-27,1841.553243,101.0,118.0,2224.711414,367.0,359.0
2021-02-28,1485.348148,93.0,115.0,2653.892755,396.0,389.0
