Date/Time,Cement Type,Cement silo,"RHR, h","Production, t","Prod.rate, t/h","PRI, %","NAI, %","Clinker (wet), t","Clinker (wet), %","Gypsum (wet), t","Gypsum (wet), %","Limestone (wet), t","Limestone (wet), %","R45, %",Fineness blaine,"Water injection, l/h","Cement temp, C","Main Drive SEEC, kWh/t cem","SEEC, kWh/t cem"
23.06.2020 09:00,C14N,4,1,120,120,98.4,100,106,88.3,7.5,6.3,6.5,5.4,,,4473.2,101.1,30.38,37.89
23.06.2020 10:00,C14N,4,1,128,128,104.9,100,114,89.1,7.5,5.9,6.5,5.1,17.6,3000,3297.6,98.1,28.4,35.62
23.06.2020 11:00,C14N,4,1,131,131,107.4,100,116,88.5,8,6.1,7,5.3,,,4238.5,97.9,27.43,34.41
23.06.2020 12:00,C14N,4,1,128,128,104.9,100,114,89.1,7.5,5.9,6.5,5.1,18,3060,3572.3,100.4,28.11,35.34
23.06.2020 13:00,C14N,4,1,130.5,131,107,100,116,88.9,8,6.1,6.5,5,,,4138.6,97.9,27.52,34.5
23.06.2020 14:00,C14N,4,1,130.5,131,107,100,116,88.9,8,6.1,6.5,5,19,299,3371.8,99.9,27.6,34.52
23.06.2020 15:00,C14N,4,1,128.5,129,105.3,100,114,88.7,8.5,6.6,6,4.7,,,3396.5,96.7,27.91,35.11
23.06.2020 16:00,C14N,4,1,130.5,131,107,100,116,88.9,8.5,6.5,6,4.6,18,3020,4162.9,101.2,27.54,34.6
23.06.2020 17:00,C14N,4,1,128.5,129,105.3,100,114,88.7,9,7,5.5,4.3,,,3473.3,97.7,27.91,34.95
23.06.2020 18:00,C14N,4,1,135,135,110.7,100,120,88.9,9.5,7,5.5,4.1,19,5380,3339,96.8,26.65,33.39
23.06.2020 19:00,C14N,4,1,137,137,112.3,100,122,89.1,9.5,6.9,5.5,4,,,2334.6,98.1,26.55,33.73
23.06.2020 20:00,C14N,4,1,130.5,131,107,100,116,88.9,9,6.9,5.5,4.2,18,2940,2473.3,98,27.66,34.98
23.06.2020 21:00,C14N,4,1,129,129,105.7,100,114,88.4,9.5,7.4,5.5,4.3,,,3052.1,98.2,27.89,35.33
23.06.2020 22:00,C14N,4,1,128.5,129,105.3,100,114,88.7,9,7,5.5,4.3,18.5,2860,4228.8,101.5,27.76,35.32
23.06.2020 23:00,C14N,4,1,119,119,97.5,100,106,89.1,8,6.7,5,4.2,,,4480.6,99.6,29.6,37.25
24.06.2020 00:00,C14N,4,1,115,115,94.3,100,102,88.7,8,7,5,4.3,20.5,3130,3413.1,96.8,30.82,38.66
24.06.2020 01:00,C14N,4,1,116.5,117,95.5,100,104,89.3,7.5,6.4,5,4.3,,,4233.3,101,30.3,38.07
24.06.2020 02:00,C14N,4,1,117.5,118,96.3,100,104,88.5,8,6.8,5.5,4.7,17.6,2900,3556,96.5,29.71,37.43
24.06.2020 03:00,C14N,4,1,128,128,104.9,100,114,89.1,8,6.3,6,4.7,,,3393.9,98.9,27.76,34.9
24.06.2020 04:00,C14N,4,1,126.5,127,103.7,100,112,88.5,8,6.3,6.5,5.1,18.8,2890,3681.5,101.6,28.41,35.8
24.06.2020 05:00,C14N,4,1,103.5,104,84.8,100,92,88.9,6,5.8,5.5,5.3,,,4492,104.5,35.01,43.49
24.06.2020 06:00,C14N,4,1,113,113,92.6,100,100,88.5,7,6.2,6,5.3,16.2,2900,4274.3,98.5,33.06,40.67
24.06.2020 07:00,C14N,4,1,132.5,133,108.6,100,118,89.1,8.5,6.4,6,4.5,,,4485,99.1,27.2,34.16
24.06.2020 08:00,C14N,4,1,130.5,131,107,100,116,88.9,8,6.1,6.5,5,15,3400,3851,96.4,27.24,34.47
24.06.2020 09:00,C14N,4,1,131,131,107.4,100,116,88.5,8.5,6.5,6.5,5,,,3983.9,102.1,26.82,33.91
