DATE,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S
1990-04-01,7.6,17.0,75.0,19.0,89.5,0.02,1148.0
1990-04-02,7.7,10.0,79.0,16.0,78.1,0.02,899.0
1990-04-03,7.7,13.0,68.0,13.0,69.2,0.02,1229.0
1990-04-04,7.5,12.0,67.0,11.0,100.0,0.0,1308.0
1990-04-05,7.7,17.0,127.0,14.0,92.9,0.0,1423.0
1990-04-06,7.8,14.0,91.0,22.0,86.4,0.0,1555.0
1990-04-08,7.7,15.0,74.0,11.0,100.0,0.0,1039.0
1990-04-09,7.6,21.0,94.0,18.0,66.7,0.02,1309.0
1990-04-10,7.8,26.0,81.0,22.0,76.4,0.02,1357.0
1990-04-11,7.7,12.0,77.0,16.0,87.5,0.0,1454.0
1990-04-13,7.4,11.0,53.0,19.0,73.7,,1306.0
1990-04-16,7.5,18.0,37.0,22.0,72.7,0.02,1100.0
1990-04-17,7.6,16.0,42.0,22.0,83.6,0.03,1149.0
1990-04-18,7.6,18.0,87.0,24.0,76.7,0.05,1244.0
1990-04-19,7.7,41.0,152.0,41.0,79.3,0.02,1341.0
1990-04-20,7.8,16.0,69.0,,,0.02,1199.0
1990-04-22,7.3,9.0,32.0,12.0,80.0,0.0,889.0
1990-04-23,7.7,19.0,72.0,28.0,64.3,0.1,1008.0
1990-04-24,7.6,18.0,100.0,20.0,76.0,0.02,1202.0
1990-04-25,7.7,42.0,124.0,48.0,74.2,0.05,1310.0
1990-04-26,7.6,31.0,174.0,67.0,73.6,0.5,1398.0
1990-04-27,7.7,39.0,287.0,84.0,81.6,0.2,1480.0
1990-04-29,7.4,44.0,210.0,73.0,81.1,1.5,1256.0
