DATE,DAY-OF-WEEK,Q-E,ZN-E,PH-E,DBO-E,DQO-E,SS-E,SSV-E,SED-E,COND-E,PH-P,DBO-P,SS-P,SSV-P,SED-P,COND-P,PH-D,DBO-D,DQO-D,SS-D,SSV-D,SED-D,COND-D
1990-05-01,Tuesday,27617.0,1.0,7.6,285.0,436.0,218.0,67.9,6.0,1095,7.6,292.0,238,67.2,5.5,1149,7.5,160.0,284.0,80.0,80.0,0.2,1139
1990-05-02,Wednesday,37881.0,3.0,7.7,257.0,588.0,328.0,60.4,7.0,1392,7.7,213.0,272,60.3,6.5,1432,7.8,174.0,344.0,116.0,70.7,0.8,1356
1990-05-03,Thursday,39024.0,1.2,7.9,268.0,467.0,224.0,66.1,6.5,1409,7.9,328.0,312,62.8,9.5,1376,7.9,152.0,338.0,88.0,77.3,0.2,1336
1990-05-04,Friday,38990.0,1.4,7.8,189.0,357.0,172.0,67.4,4.0,1160,7.7,213.0,212,62.3,5.5,1232,7.7,123.0,255.0,80.0,80.0,0.3,1237
1990-05-06,Sunday,37710.0,3.0,7.5,312.0,388.0,204.0,61.8,4.0,1026,7.5,211.0,214,64.5,5.0,1020,7.5,111.0,222.0,86.0,76.7,0.2,1016
1990-05-07,Monday,25957.0,0.6,8.1,404.0,455.0,448.0,38.4,5.0,1229,7.8,491.0,692,38.7,11.5,1279,7.8,285.0,,110.0,70.9,0.4,1156
1990-05-08,Tuesday,38623.0,1.5,8.1,243.0,299.0,180.0,54.4,2.5,1615,8.0,291.0,324,65.4,3.5,1630,7.9,166.0,265.0,96.0,60.4,0.2,1485
1990-05-09,Wednesday,41746.0,1.0,8.0,352.0,471.0,208.0,65.4,5.5,2150,7.9,386.0,216,64.8,5.5,2320,7.6,198.0,348.0,118.0,74.6,0.5,2290
1990-05-10,Thursday,43291.0,0.8,7.7,215.0,447.0,164.0,61.0,5.5,1177,7.7,258.0,256,53.1,5.0,1207,7.9,141.0,285.0,86.0,69.8,0.2,1324
1990-05-11,Friday,41436.0,1.2,7.9,191.0,356.0,192.0,62.5,7.0,1434,7.9,226.0,288,55.6,10.0,1427,7.7,130.0,257.0,84.0,71.4,0.1,1467
1990-05-13,Sunday,39402.0,1.2,7.9,283.0,274.0,162.0,59.3,3.0,937,7.9,190.0,178,58.4,2.8,944,7.8,117.0,212.0,78.0,76.9,0.1,970
1990-05-14,Monday,39383.0,0.6,8.0,216.0,529.0,248.0,61.3,6.3,1179,8.0,429.0,220,65.5,5.0,1294,7.8,140.0,337.0,138.0,63.8,1.5,1155
1990-05-15,Tuesday,37106.0,0.7,7.8,163.0,468.0,202.0,57.4,4.5,1525,8.0,319.0,292,58.9,7.0,1587,7.8,146.0,353.0,230.0,55.7,0.2,1328
1990-05-16,Wednesday,36591.0,1.2,7.8,,499.0,248.0,56.5,6.5,1213,7.8,,304,57.9,7.2,1264,7.8,,334.0,98.0,77.6,0.2,1420
1990-05-17,Thursday,33711.0,2.5,8.0,345.0,457.0,288.0,59.7,7.5,1272,7.9,,348,63.2,9.0,1336,7.9,,372.0,146.0,72.6,2.0,1369
1990-05-18,Friday,35081.0,0.8,7.7,431.0,532.0,210.0,65.7,5.0,1535,7.6,409.0,224,58.9,6.0,1561,7.8,210.0,360.0,98.0,65.3,0.2,1472
1990-05-20,Sunday,32372.0,1.5,7.8,174.0,404.0,192.0,63.5,3.5,1056,7.7,182.0,210,61.0,4.5,1064,7.7,140.0,243.0,104.0,76.9,0.4,1078
1990-05-21,Monday,37283.0,2.0,7.7,327.0,376.0,184.0,57.6,4.0,1226,7.7,287.0,236,45.8,3.5,1223,7.8,102.0,255.0,84.0,73.8,0.2,1199
1990-05-22,Tuesday,42202.0,1.0,7.6,184.0,238.0,316.0,30.4,3.0,1079,7.7,163.0,344,29.1,4.0,1113,7.6,122.0,214.0,92.0,63.0,0.2,1139
1990-05-23,Wednesday,50942.0,3.0,7.8,159.0,234.0,292.0,32.9,3.0,1140,7.8,182.0,344,32.6,4.0,1125,7.9,111.0,218.0,100.0,52.0,0.3,1231
1990-05-24,Thursday,44040.0,1.0,7.9,275.0,330.0,180.0,55.6,3.0,1376,7.9,190.0,200,60.0,2.5,1392,7.9,118.0,260.0,76.0,76.3,0.3,1435
1990-05-25,Friday,43117.0,1.2,8.4,134.0,302.0,208.0,57.7,3.3,1160,8.0,159.0,276,60.9,3.5,1201,8.0,116.0,233.0,80.0,77.5,0.2,1264
1990-05-27,Sunday,48333.0,0.7,7.6,132.0,188.0,172.0,46.5,2.5,940,7.7,210.0,192,46.9,2.0,924,7.7,102.0,176.0,76.0,78.9,0.1,1001
1990-05-28,Monday,46540.0,1.2,7.8,132.0,297.0,176.0,45.5,1.5,1140,8.0,133.0,172,44.2,1.3,1072,7.9,98.0,246.0,84.0,61.9,0.3,1111
1990-05-29,Tuesday,46057.0,1.0,8.1,133.0,288.0,162.0,56.8,2.3,1050,8.1,133.0,152,63.2,2.5,1116,8.0,97.0,220.0,70.0,77.1,0.2,1142
1990-05-30,Wednesday,45018.0,2.0,7.9,224.0,488.0,456.0,48.2,11.0,1147,7.9,153.0,252,49.2,4.0,1224,8.0,110.0,248.0,92.0,67.4,0.4,1238
