DATE,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G,RD-SED-G
1990-05-01,45.2,66.4,96.4,83.8,63.4,90.9,76.1,81.2,91.7
1990-05-02,18.3,57.4,87.7,85.1,73.3,89.9,84.4,86.6,95.7
1990-05-03,53.7,71.8,98.4,80.9,56.2,89.2,68.3,78.1,98.5
1990-05-04,42.3,62.3,94.5,75.6,52.2,84.1,65.8,75.6,98.8
1990-05-06,47.4,59.8,96.0,62.2,30.6,86.5,60.3,66.2,97.5
1990-05-07,42.0,84.1,97.0,93.0,,95.0,81.8,94.4,99.0
1990-05-08,43.0,70.4,94.3,84.3,69.1,89.3,72.6,80.0,99.2
1990-05-09,48.7,45.4,91.8,87.9,73.9,93.2,80.7,84.6,100.0
1990-05-10,45.3,66.4,96.0,86.5,73.7,91.2,83.2,80.5,99.6
1990-05-11,42.5,70.8,99.0,78.5,59.9,85.3,71.1,82.3,100.0
1990-05-13,38.4,56.2,98.2,76.1,65.1,90.1,73.0,84.6,100.0
1990-05-14,67.4,37.3,70.0,83.6,72.1,89.4,82.2,91.1,100.0
1990-05-15,54.2,21.2,97.1,90.4,71.7,91.4,78.6,90.6,100.0
1990-05-16,,67.8,97.2,,76.9,,84.6,91.9,100.0
1990-05-17,,58.0,77.8,,76.3,94.5,80.7,93.4,100.0
1990-05-18,48.7,56.3,96.7,93.8,63.3,97.0,75.2,93.8,100.0
1990-05-20,23.1,50.5,91.1,90.7,77.4,92.5,86.4,90.6,100.0
1990-05-21,64.5,64.4,94.3,85.3,81.6,95.4,87.5,92.9,100.0
1990-05-22,25.2,73.3,95.0,77.9,55.6,85.3,60.1,87.7,100.0
1990-05-23,39.0,70.9,93.8,89.2,83.5,92.5,84.6,95.2,100.0
1990-05-24,37.9,62.0,90.0,78.8,58.1,90.9,67.0,86.7,100.0
1990-05-25,27.0,71.0,94.3,86.2,71.7,88.1,78.1,90.4,100.0
1990-05-27,51.4,60.4,95.0,83.3,55.7,87.1,58.5,87.8,100.0
1990-05-28,26.3,51.2,80.8,75.5,74.4,81.8,78.8,90.9,100.0
1990-05-29,27.1,53.9,94.0,67.0,41.8,75.9,55.6,75.3,97.8
1990-05-30,28.1,63.5,91.3,86.4,85.5,93.3,92.6,96.3,100.0
