Date,Cement (kg/m^3),Blast Furnace Slag (kg/m^3),Fly Ash (kg/m^3),Water (kg/m^3),Superplasticizer (kg/m^3),Coarse Aggregate (kg/m^3),Fine Aggregate (kg/m^3),Concrete compressive strength (MPa)
9/29/2024,540,0,0,162,2.5,1040,676,79.99
9/29/2024,540,0,0,162,2.5,1055,676,61.89
1/31/2024,332.5,142.5,0,228,0,932,594,40.27
10/28/2023,332.5,142.5,0,228,0,932,594,41.05
11/2/2023,198.6,132.4,0,192,0,978.4,825.5,44.3
7/29/2024,266,114,0,228,0,932,670,47.03
10/28/2023,380,95,0,228,0,932,594,43.7
9/29/2024,380,95,0,228,0,932,594,36.45
9/29/2024,266,114,0,228,0,932,670,45.85
9/29/2024,475,0,0,228,0,932,594,39.29
7/29/2024,198.6,132.4,0,192,0,978.4,825.5,38.07
9/29/2024,198.6,132.4,0,192,0,978.4,825.5,28.02
1/31/2024,427.5,47.5,0,228,0,932,594,43.01
7/29/2024,190,190,0,228,0,932,670,42.33
9/29/2024,304,76,0,228,0,932,670,47.81
7/29/2024,380,0,0,228,0,932,670,52.91
7/29/2024,139.6,209.4,0,192,0,1047,806.9,39.36
10/28/2023,342,38,0,228,0,932,670,56.14
7/29/2024,380,95,0,228,0,932,594,40.56
4/30/2024,475,0,0,228,0,932,594,42.62
4/30/2024,427.5,47.5,0,228,0,932,594,41.84
9/29/2024,139.6,209.4,0,192,0,1047,806.9,28.24
10/24/2024,139.6,209.4,0,192,0,1047,806.9,8.06
4/30/2024,139.6,209.4,0,192,0,1047,806.9,44.21
10/28/2023,380,0,0,228,0,932,670,52.52
1/31/2024,380,0,0,228,0,932,670,53.3
1/31/2024,380,95,0,228,0,932,594,41.15
4/30/2024,342,38,0,228,0,932,670,52.12
9/29/2024,427.5,47.5,0,228,0,932,594,37.43
10/20/2024,475,0,0,228,0,932,594,38.6
10/28/2023,304,76,0,228,0,932,670,55.26
10/28/2023,266,114,0,228,0,932,670,52.91
4/30/2024,198.6,132.4,0,192,0,978.4,825.5,41.72
1/31/2024,475,0,0,228,0,932,594,42.13
10/28/2023,190,190,0,228,0,932,670,53.69
1/31/2024,237.5,237.5,0,228,0,932,594,38.41
9/29/2024,237.5,237.5,0,228,0,932,594,30.08
7/29/2024,332.5,142.5,0,228,0,932,594,37.72
7/29/2024,475,0,0,228,0,932,594,42.23
4/30/2024,237.5,237.5,0,228,0,932,594,36.25
7/29/2024,342,38,0,228,0,932,670,50.46
10/28/2023,427.5,47.5,0,228,0,932,594,43.7
10/28/2023,237.5,237.5,0,228,0,932,594,39
4/30/2024,380,0,0,228,0,932,670,53.1
7/29/2024,427.5,47.5,0,228,0,932,594,41.54
10/20/2024,427.5,47.5,0,228,0,932,594,35.08
10/24/2024,349,0,0,192,0,1047,806.9,15.05
4/30/2024,380,95,0,228,0,932,594,40.76
10/20/2024,237.5,237.5,0,228,0,932,594,26.26
10/20/2024,380,95,0,228,0,932,594,32.82
4/30/2024,332.5,142.5,0,228,0,932,594,39.78
4/30/2024,190,190,0,228,0,932,670,46.93
7/29/2024,237.5,237.5,0,228,0,932,594,33.12
7/29/2024,304,76,0,228,0,932,670,49.19
10/20/2024,139.6,209.4,0,192,0,1047,806.9,14.59
10/20/2024,198.6,132.4,0,192,0,978.4,825.5,14.64
10/28/2023,475,0,0,228,0,932,594,41.93
10/24/2024,198.6,132.4,0,192,0,978.4,825.5,9.13
4/30/2024,304,76,0,228,0,932,670,50.95
9/29/2024,332.5,142.5,0,228,0,932,594,33.02
1/31/2024,304,76,0,228,0,932,670,54.38
1/31/2024,266,114,0,228,0,932,670,51.73
10/24/2024,310,0,0,192,0,971,850.6,9.87
1/31/2024,190,190,0,228,0,932,670,50.66
4/30/2024,266,114,0,228,0,932,670,48.7
1/31/2024,342,38,0,228,0,932,670,55.06
11/2/2023,139.6,209.4,0,192,0,1047,806.9,44.7
10/20/2024,332.5,142.5,0,228,0,932,594,30.28
9/29/2024,190,190,0,228,0,932,670,40.86
9/29/2024,485,0,0,146,0,1120,800,71.99
10/24/2024,374,189.2,0,170.1,10.1,926.1,756.7,34.4
10/24/2024,313.3,262.2,0,175.5,8.6,1046.9,611.8,28.8
10/24/2024,425,106.3,0,153.5,16.5,852.1,887.1,33.4
10/24/2024,425,106.3,0,151.4,18.6,936,803.7,36.3
10/24/2024,375,93.8,0,126.6,23.4,852.1,992.6,29
10/24/2024,475,118.8,0,181.1,8.9,852.1,781.5,37.8
10/24/2024,469,117.2,0,137.8,32.2,852.1,840.5,40.2
10/24/2024,425,106.3,0,153.5,16.5,852.1,887.1,33.4
10/24/2024,388.6,97.1,0,157.9,12.1,852.1,925.7,28.1
10/24/2024,531.3,0,0,141.8,28.2,852.1,893.7,41.3
10/24/2024,425,106.3,0,153.5,16.5,852.1,887.1,33.4
10/24/2024,318.8,212.5,0,155.7,14.3,852.1,880.4,25.2
10/24/2024,401.8,94.7,0,147.4,11.4,946.8,852.1,41.1
10/24/2024,362.6,189,0,164.9,11.6,944.7,755.8,35.3
10/24/2024,323.7,282.8,0,183.8,10.3,942.7,659.9,28.3
10/24/2024,379.5,151.2,0,153.9,15.9,1134.3,605,28.6
10/24/2024,362.6,189,0,164.9,11.6,944.7,755.8,35.3
10/24/2024,286.3,200.9,0,144.7,11.2,1004.6,803.7,24.4
10/24/2024,362.6,189,0,164.9,11.6,944.7,755.8,35.3
10/24/2024,439,177,0,186,11.1,884.9,707.9,39.3
10/24/2024,389.9,189,0,145.9,22,944.7,755.8,40.6
10/24/2024,362.6,189,0,164.9,11.6,944.7,755.8,35.3
10/24/2024,337.9,189,0,174.9,9.5,944.7,755.8,24.1
10/20/2024,374,189.2,0,170.1,10.1,926.1,756.7,46.2
10/20/2024,313.3,262.2,0,175.5,8.6,1046.9,611.8,42.8
10/20/2024,425,106.3,0,153.5,16.5,852.1,887.1,49.2
10/20/2024,425,106.3,0,151.4,18.6,936,803.7,46.8
10/20/2024,375,93.8,0,126.6,23.4,852.1,992.6,45.7
10/20/2024,475,118.8,0,181.1,8.9,852.1,781.5,55.6
10/20/2024,469,117.2,0,137.8,32.2,852.1,840.5,54.9
10/20/2024,425,106.3,0,153.5,16.5,852.1,887.1,49.2
10/20/2024,388.6,97.1,0,157.9,12.1,852.1,925.7,34.9
10/20/2024,531.3,0,0,141.8,28.2,852.1,893.7,46.9
