Date,Country,Local,Industry Sector,Accident Level,Potential Accident Level,Gender,Employee or 3d Party,Critical Risk
1/1/2016 0:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Pressed
1/2/2016 0:00,Country_02,Local_02,Mining,I,IV,Male,Employee,Pressurized Systems
1/6/2016 0:00,Country_01,Local_03,Mining,I,III,Male,Third Party (Remote),Manual Tools
1/8/2016 0:00,Country_01,Local_04,Mining,I,I,Male,Third Party,Others
1/10/2016 0:00,Country_01,Local_04,Mining,IV,IV,Male,Third Party,Others
1/12/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Pressurized Systems
1/16/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Employee,Fall prevention (same level)
1/17/2016 0:00,Country_01,Local_04,Mining,I,III,Male,Third Party,Pressed
1/19/2016 0:00,Country_02,Local_02,Mining,I,IV,Male,Third Party (Remote),Others
1/26/2016 0:00,Country_01,Local_06,Metals,I,II,Male,Third Party,Chemical substances
1/28/2016 0:00,Country_01,Local_03,Mining,I,III,Male,Employee,Others
1/30/2016 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others
2/1/2016 0:00,Country_02,Local_05,Metals,I,I,Male,Employee,Liquid Metal
2/2/2016 0:00,Country_01,Local_01,Mining,IV,V,Male,Third Party,Electrical installation
2/4/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Employee,Confined space
2/4/2016 0:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Liquid Metal
2/6/2016 0:00,Country_01,Local_04,Mining,III,IV,Male,Third Party,Others
2/7/2016 0:00,Country_01,Local_06,Metals,I,II,Female,Third Party,Others
2/8/2016 0:00,Country_01,Local_06,Metals,I,II,Male,Employee,Others
2/21/2016 0:00,Country_01,Local_06,Metals,I,III,Male,Employee,Others
2/25/2016 0:00,Country_01,Local_06,Metals,I,II,Male,Third Party,Others
2/9/2016 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others
2/10/2016 0:00,Country_01,Local_03,Mining,II,IV,Male,Third Party,Others
2/15/2016 0:00,Country_02,Local_02,Mining,II,II,Male,Third Party (Remote),Others
2/14/2016 0:00,Country_01,Local_06,Metals,I,II,Male,Third Party,Others
2/15/2016 0:00,Country_01,Local_06,Metals,I,II,Male,Employee,Manual Tools
2/13/2016 0:00,Country_01,Local_01,Mining,I,I,Male,Employee,Others
2/15/2016 0:00,Country_01,Local_03,Mining,I,III,Male,Third Party,Others
2/16/2016 0:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Others
2/16/2016 0:00,Country_02,Local_07,Mining,II,III,Male,Employee,Others
2/17/2016 0:00,Country_01,Local_03,Mining,I,II,Male,Employee,Others
2/19/2016 0:00,Country_01,Local_03,Mining,I,II,Male,Employee,Others
2/21/2016 0:00,Country_01,Local_01,Mining,III,IV,Male,Third Party,Others
2/20/2016 0:00,Country_01,Local_04,Mining,V,V,Male,Third Party,Others
2/15/2016 0:00,Country_02,Local_05,Metals,I,II,Male,Employee,Others
2/18/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Pressed
2/22/2016 0:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others
2/24/2016 0:00,Country_02,Local_07,Mining,I,V,Male,Employee,Others
2/24/2016 0:00,Country_02,Local_07,Mining,I,V,Female,Third Party,Others
2/24/2016 0:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Others
2/29/2016 0:00,Country_02,Local_02,Mining,II,IV,Male,Employee,Others
2/26/2016 0:00,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
2/26/2016 0:00,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
2/26/2016 0:00,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
2/26/2016 0:00,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
2/26/2016 0:00,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
2/26/2016 0:00,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
2/26/2016 0:00,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
2/26/2016 0:00,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
2/26/2016 0:00,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
2/26/2016 0:00,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
2/26/2016 0:00,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
2/26/2016 0:00,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
2/26/2016 0:00,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
2/27/2016 0:00,Country_01,Local_01,Mining,I,III,Male,Third Party,Others
3/2/2016 0:00,Country_02,Local_08,Metals,I,III,Male,Employee,Pressed
3/2/2016 0:00,Country_01,Local_06,Metals,I,III,Male,Employee,Blocking and isolation of energies
3/3/2016 0:00,Country_01,Local_03,Mining,I,III,Male,Third Party,Others
3/4/2016 0:00,Country_01,Local_06,Metals,I,III,Male,Employee,Manual Tools
3/5/2016 0:00,Country_01,Local_03,Mining,I,IV,Male,Employee,Others
3/6/2016 0:00,Country_01,Local_04,Mining,I,III,Male,Employee,Others
3/6/2016 0:00,Country_01,Local_03,Mining,III,IV,Male,Third Party (Remote),Others
3/9/2016 0:00,Country_01,Local_06,Metals,I,IV,Male,Third Party,Suspended Loads
3/11/2016 0:00,Country_01,Local_03,Mining,III,V,Male,Third Party,Others
3/11/2016 0:00,Country_01,Local_03,Mining,I,V,Male,Third Party,Others
3/13/2016 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Others
3/12/2016 0:00,Country_02,Local_07,Mining,III,IV,Male,Employee,Others
3/14/2016 0:00,Country_01,Local_06,Metals,II,III,Male,Third Party (Remote),Chemical substances
3/13/2016 0:00,Country_01,Local_03,Mining,I,III,Male,Employee,Others
3/16/2016 0:00,Country_01,Local_04,Mining,I,II,Male,Third Party,Others
3/10/2016 0:00,Country_02,Local_05,Metals,I,II,Male,Employee,Pressed
3/17/2016 0:00,Country_01,Local_01,Mining,I,II,Male,Third Party,Others
3/16/2016 0:00,Country_02,Local_08,Metals,II,II,Male,Employee,Manual Tools
3/18/2016 0:00,Country_01,Local_04,Mining,IV,IV,Male,Third Party,Others
3/19/2016 0:00,Country_01,Local_01,Mining,I,III,Male,Employee,Others
3/14/2016 0:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Chemical substances
3/18/2016 0:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Fall prevention (same level)
3/18/2016 0:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Chemical substances
3/22/2016 0:00,Country_01,Local_03,Mining,I,II,Male,Employee,Others
3/22/2016 0:00,Country_01,Local_01,Mining,IV,IV,Male,Third Party,Others
3/25/2016 0:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others
3/30/2016 0:00,Country_01,Local_04,Mining,II,IV,Male,Third Party,Others
3/30/2016 0:00,Country_01,Local_03,Mining,I,III,Male,Employee,Others
3/31/2016 0:00,Country_01,Local_06,Metals,I,III,Male,Employee,Others
3/31/2016 0:00,Country_02,Local_08,Metals,I,III,Male,Third Party (Remote),Pressed
4/1/2016 0:00,Country_01,Local_03,Mining,I,III,Male,Third Party,Others
4/3/2016 0:00,Country_01,Local_01,Mining,III,V,Male,Third Party,Others
4/2/2016 0:00,Country_01,Local_01,Mining,I,III,Male,Employee,Others
4/1/2016 0:00,Country_01,Local_01,Mining,I,V,Male,Third Party (Remote),Others
4/1/2016 0:00,Country_01,Local_01,Mining,I,V,Male,Third Party (Remote),Others
3/10/2016 0:00,Country_03,Local_10,Others,II,II,Male,Third Party,Others
3/24/2016 0:00,Country_03,Local_10,Others,IV,IV,Male,Third Party,Poll
3/22/2016 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Others
3/31/2016 0:00,Country_01,Local_03,Mining,I,II,Male,Third Party,Others
4/4/2016 0:00,Country_02,Local_09,Metals,III,IV,Male,Employee,Manual Tools
4/5/2016 0:00,Country_01,Local_06,Metals,I,III,Male,Third Party,Fall prevention (same level)
4/5/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party,Pressed
4/7/2016 0:00,Country_01,Local_03,Mining,I,II,Male,Third Party,Others
4/8/2016 0:00,Country_01,Local_03,Mining,I,IV,Male,Employee,Others
4/11/2016 0:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others
4/11/2016 0:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Others
4/14/2016 0:00,Country_02,Local_08,Metals,I,III,Male,Employee,Pressurized Systems
4/14/2016 0:00,Country_01,Local_04,Mining,I,II,Male,Third Party,Others
4/16/2016 0:00,Country_01,Local_04,Mining,I,III,Male,Third Party,Others
4/16/2016 0:00,Country_01,Local_03,Mining,I,III,Male,Third Party,Others
4/15/2016 0:00,Country_01,Local_03,Mining,I,II,Male,Employee,Others
4/17/2016 0:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Cut
4/18/2016 0:00,Country_01,Local_03,Mining,I,III,Male,Third Party,Others
4/21/2016 0:00,Country_02,Local_02,Mining,I,V,Male,Employee,Others
4/22/2016 0:00,Country_01,Local_01,Mining,I,II,Male,Third Party,Others
4/23/2016 0:00,Country_01,Local_04,Mining,I,III,Male,Employee,Others
4/22/2016 0:00,Country_02,Local_05,Metals,II,IV,Male,Third Party,Pressurized Systems / Chemical Substances
