Data,Countries,Local,Industry Sector,Years of Experience,Age,Accident Level,Potential Accident Level,Genre,Employee ou Terceiro,Risco Critico
1/1/2016 0:00,Country_01,Local_01,Mining,9,47,I,IV,Male,Third Party,Pressed
1/2/2016 0:00,Country_02,Local_02,Mining,4.7,60,I,IV,Male,Employee,Pressurized Systems
1/6/2016 0:00,Country_01,Local_03,Mining,8.6,30,I,III,Male,Third Party (Remote),Manual Tools
1/8/2016 0:00,Country_01,Local_04,Mining,8.7,40,I,I,Male,Third Party,Others
1/10/2016 0:00,Country_01,Local_04,Mining,3.7,34,IV,IV,Male,Third Party,Others
1/12/2016 0:00,Country_02,Local_05,Metals,3.5,51,I,III,Male,Third Party (Remote),Pressurized Systems
1/16/2016 0:00,Country_02,Local_05,Metals,0.2,31,I,III,Male,Employee,Fall prevention (same level)
1/17/2016 0:00,Country_01,Local_04,Mining,3.2,36,I,III,Male,Third Party,Pressed
1/19/2016 0:00,Country_02,Local_02,Mining,7,45,I,IV,Male,Third Party (Remote),Others
1/26/2016 0:00,Country_01,Local_06,Metals,6,27,I,II,Male,Third Party,Chemical substances
1/28/2016 0:00,Country_01,Local_03,Mining,2.6,48,I,III,Male,Employee,Others
1/30/2016 0:00,Country_01,Local_03,Mining,8.8,20,I,IV,Male,Third Party,Others
2/1/2016 0:00,Country_02,Local_05,Metals,0.1,29,I,I,Male,Employee,Liquid Metal
2/2/2016 0:00,Country_01,Local_01,Mining,3.1,22,IV,V,Male,Third Party,Electrical installation
2/4/2016 0:00,Country_02,Local_05,Metals,6.3,42,I,III,Male,Employee,Confined space
2/4/2016 0:00,Country_02,Local_05,Metals,9.2,44,I,IV,Male,Employee,Liquid Metal
2/6/2016 0:00,Country_01,Local_04,Mining,1.3,44,III,IV,Male,Third Party,Others
2/7/2016 0:00,Country_01,Local_06,Metals,1.2,52,I,II,Female,Third Party,Others
2/8/2016 0:00,Country_01,Local_06,Metals,9,49,I,II,Male,Employee,Others
2/21/2016 0:00,Country_01,Local_06,Metals,4.5,25,I,III,Male,Employee,Others
2/25/2016 0:00,Country_01,Local_06,Metals,1.6,57,I,II,Male,Third Party,Others
2/9/2016 0:00,Country_01,Local_03,Mining,9.7,39,I,IV,Male,Third Party,Others
2/10/2016 0:00,Country_01,Local_03,Mining,5,31,II,IV,Male,Third Party,Others
2/15/2016 0:00,Country_02,Local_02,Mining,1.5,26,II,II,Male,Third Party (Remote),Others
2/14/2016 0:00,Country_01,Local_06,Metals,0.1,29,I,II,Male,Third Party,Others
2/15/2016 0:00,Country_01,Local_06,Metals,7.7,23,I,II,Male,Employee,Manual Tools
2/13/2016 0:00,Country_01,Local_01,Mining,1.5,34,I,I,Male,Employee,Others
2/15/2016 0:00,Country_01,Local_03,Mining,6.5,50,I,III,Male,Third Party,Others
2/16/2016 0:00,Country_01,Local_01,Mining,7.9,20,I,IV,Male,Employee,Others
2/16/2016 0:00,Country_02,Local_07,Mining,5.2,30,II,III,Male,Employee,Others
2/17/2016 0:00,Country_01,Local_03,Mining,2.8,59,I,II,Male,Employee,Others
2/19/2016 0:00,Country_01,Local_03,Mining,5.7,44,I,II,Male,Employee,Others
2/21/2016 0:00,Country_01,Local_01,Mining,5,21,III,IV,Male,Third Party,Others
2/20/2016 0:00,Country_01,Local_04,Mining,0.7,21,V,V,Male,Third Party,Others
2/15/2016 0:00,Country_02,Local_05,Metals,5.5,39,I,II,Male,Employee,Others
2/18/2016 0:00,Country_02,Local_05,Metals,7.2,41,I,III,Male,Third Party (Remote),Pressed
2/22/2016 0:00,Country_01,Local_01,Mining,7.4,50,I,IV,Male,Third Party,Others
2/24/2016 0:00,Country_02,Local_07,Mining,2.5,30,I,V,Male,Employee,Others
2/24/2016 0:00,Country_02,Local_07,Mining,2,33,I,V,Female,Third Party,Others
2/24/2016 0:00,Country_01,Local_01,Mining,0.5,26,I,IV,Male,Employee,Others
2/29/2016 0:00,Country_02,Local_02,Mining,6.6,32,II,IV,Male,Employee,Others
2/26/2016 0:00,Country_01,Local_06,Metals,9,54,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
2/26/2016 0:00,Country_01,Local_06,Metals,2.6,37,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
2/26/2016 0:00,Country_01,Local_06,Metals,2.2,43,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
2/26/2016 0:00,Country_01,Local_06,Metals,8.8,31,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
2/26/2016 0:00,Country_01,Local_06,Metals,1.5,56,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
2/26/2016 0:00,Country_01,Local_06,Metals,5.1,48,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
2/26/2016 0:00,Country_01,Local_06,Metals,8,50,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
2/26/2016 0:00,Country_01,Local_06,Metals,0.7,60,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
2/26/2016 0:00,Country_01,Local_06,Metals,5.8,39,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
2/26/2016 0:00,Country_01,Local_06,Metals,0.5,57,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
2/26/2016 0:00,Country_01,Local_06,Metals,4.2,50,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
2/26/2016 0:00,Country_01,Local_06,Metals,5.3,36,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
2/26/2016 0:00,Country_01,Local_06,Metals,1.1,33,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances
2/27/2016 0:00,Country_01,Local_01,Mining,1.9,54,I,III,Male,Third Party,Others
3/2/2016 0:00,Country_02,Local_08,Metals,2,36,I,III,Male,Employee,Pressed
